,Category,Variable,2020-03-26,2020-03-27,2020-03-28
0,,Total,23112,26697,29158
1,,Median Age (Range),47,47,47
2,Age Group,0 to 17,495,543,573
3,Age Group,18 to 44,10145,11617,12590
4,Age Group,45 to 64,7869,9158,10019
5,Age Group,65 to 74,2627,3034,3354
6,Age Group,75 and over,1935,2286,2568
7,Age 50 and over,Yes,10452,12209,13468
8,Age 50 and over,No,12619,14429,15636
9,Sex,Female,10124,11792,12928
10,Sex,Male,12619,14863,16192
11,Borough,Bronx,4243,4880,5352
12,Borough,Brooklyn,6095,7091,7789
13,Borough,Manhattan,4046,4627,5036
14,Borough,Queens,7362,8529,9228
15,Borough,Staten Island,1330,1534,1718
16,,Deaths,365,450,517
