,Category,Variable,2020-03-26,2020-03-27
0,,Total,23112,26697
1,,Median Age (Range),47,47
2,Age Group,0 to 17,495,543
3,Age Group,18 to 44,10145,11617
4,Age Group,45 to 64,7869,9158
5,Age Group,65 to 74,2627,3034
6,Age Group,75 and over,1935,2286
7,Age Group,Unknown,41,59
8,Age 50 and over,Yes,10452,12209
9,Age 50 and over,No,12619,14429
10,Sex,Female,10124,11792
11,Sex,Male,12619,14863
12,Sex,Unknown,40,42
13,Borough,Bronx,4243,4880
14,Borough,Brooklyn,6095,7091
15,Borough,Manhattan,4046,4627
16,Borough,Queens,7362,8529
17,Borough,Staten Island,1330,1534
18,Borough,Unknown,36,36
19,,Deaths,365,450
